Water Depth [inch],Factor
0.0,0.0
0.3937,0.0046
0.7874,0.0092
1.1811,0.0138
1.5748,0.0184
1.9685,0.023
2.3622,0.0276
2.7559,0.0322
3.1496,0.0368
3.5433,0.0414
3.937,0.046
4.3307,0.0506
4.7244,0.0552
5.1181,0.0598
5.5118,0.0644
5.9055,0.069
6.2992,0.0736
6.6929,0.0782
7.0866,0.0828
7.4803,0.0874
7.874,0.092
8.2677,0.0966
8.6614,0.1012
9.0551,0.1058
9.4488,0.1104
9.8425,0.115
10.2362,0.1196
10.6299,0.1242
11.0236,0.1288
11.4173,0.1334
11.811,0.138
12.2047,0.1426
12.5984,0.1472
12.9921,0.1518
13.3858,0.1564
13.7795,0.161
14.1732,0.1656
14.5669,0.1702
14.9606,0.1748
15.3543,0.1794
15.748,0.1839
16.1417,0.1885
16.5354,0.1931
16.9291,0.1977
17.3228,0.2023
17.7165,0.2069
18.1102,0.2115
18.5039,0.2161
18.8976,0.2207
19.2913,0.2253
19.685,0.2299
20.0787,0.2331
20.4724,0.2363
20.8661,0.2395
21.2598,0.2427
21.6535,0.2459
22.0472,0.2491
22.4409,0.2523
22.8346,0.2555
23.2283,0.2587
23.622,0.2619
24.0157,0.2651
24.4094,0.2683
24.8031,0.2715
25.1969,0.2747
25.5906,0.2779
25.9843,0.2811
26.378,0.2843
26.7717,0.2875
27.1654,0.2907
27.5591,0.2939
27.9528,0.2971
28.3465,0.3003
28.7402,0.3035
29.1339,0.3067
29.5276,0.3099
29.9213,0.3131
30.315,0.3163
30.7087,0.3195
31.1024,0.3227
31.4961,0.3259
31.8898,0.3291
32.2835,0.3323
32.6772,0.3355
33.0709,0.3387
33.4646,0.3419
33.8583,0.3451
34.252,0.3483
34.6457,0.3515
35.0394,0.3547
35.4331,0.3579
35.8268,0.3611
36.2205,0.3643
36.6142,0.3675
37.0079,0.3707
37.4016,0.3739
37.7953,0.3771
38.189,0.3803
38.5827,0.3835
38.9764,0.3867
39.3701,0.3899
39.7638,0.3929
40.1575,0.3959
40.5512,0.3988
40.9449,0.4018
41.3386,0.4048
41.7323,0.4077
42.126,0.4107
42.5197,0.4136
42.9134,0.4166
43.3071,0.4196
43.7008,0.4225
44.0945,0.4255
44.4882,0.4285
44.8819,0.4314
45.2756,0.4344
45.6693,0.4373
46.063,0.4403
46.4567,0.4433
46.8504,0.4462
47.2441,0.4492
47.6378,0.4522
48.0315,0.4551
48.4252,0.4581
48.8189,0.461
49.2126,0.464
49.6063,0.467
50,0.4699
50.3937,0.4729
50.7874,0.4759
51.1811,0.4788
51.5748,0.4818
51.9685,0.4847
52.3622,0.4877
52.7559,0.4907
53.1496,0.4936
53.5433,0.4966
53.937,0.4996
54.3307,0.5025
54.7244,0.5055
55.1181,0.5084
55.5118,0.5114
55.9055,0.5144
56.2992,0.5173
56.6929,0.5203
57.0866,0.5233
57.4803,0.5262
57.874,0.5292
58.2677,0.5321
58.6614,0.5351
59.0551,0.5381
59.4488,0.5403
59.8425,0.5424
60.2362,0.5446
60.6299,0.5468
61.0236,0.549
61.4173,0.5512
61.811,0.5534
62.2047,0.5556
62.5984,0.5578
62.9921,0.5599
63.3858,0.5621
63.7795,0.5643
64.1732,0.5665
64.5669,0.5687
64.9606,0.5709
65.3543,0.5731
65.748,0.5753
66.1417,0.5775
66.5354,0.5796
66.9291,0.5818
67.3228,0.584
67.7165,0.5862
68.1102,0.5884
68.5039,0.5906
68.8976,0.5928
69.2913,0.595
69.685,0.5971
70.0787,0.5993
70.4724,0.6015
70.8661,0.6037
71.2598,0.6059
71.6535,0.6081
72.0472,0.6103
72.4409,0.6125
72.8346,0.6146
73.2283,0.6168
73.622,0.619
74.0157,0.6212
74.4094,0.6234
74.8031,0.6256
75.1969,0.6278
75.5906,0.63
75.9843,0.6321
76.378,0.6343
76.7717,0.6365
77.1654,0.6387
77.5591,0.6409
77.9528,0.6431
78.3465,0.6453
78.7402,0.6475
79.1339,0.6492
79.5276,0.651
79.9213,0.6527
80.315,0.6545
80.7087,0.6563
81.1024,0.658
81.4961,0.6598
81.8898,0.6616
82.2835,0.6633
82.6772,0.6651
83.0709,0.6668
83.4646,0.6686
83.8583,0.6704
84.252,0.6721
84.6457,0.6739
85.0394,0.6757
85.4331,0.6774
85.8268,0.6792
86.2205,0.6809
86.6142,0.6827
87.0079,0.6845
87.4016,0.6862
87.7953,0.688
88.189,0.6898
88.5827,0.6915
88.9764,0.6933
89.3701,0.695
89.7638,0.6968
90.1575,0.6986
90.5512,0.7003
90.9449,0.7021
91.3386,0.7039
91.7323,0.7056
92.126,0.7074
92.5197,0.7091
92.9134,0.7109
93.3071,0.7127
93.7008,0.7144
94.0945,0.7162
94.4882,0.718
94.8819,0.7197
95.2756,0.7215
95.6693,0.7233
96.063,0.725
96.4567,0.7268
96.8504,0.7285
97.2441,0.7303
97.6378,0.7321
98.0315,0.7338
98.4252,0.7356
98.8189,0.7374
99.2126,0.7391
99.6063,0.7409
100,0.7426
100.3937,0.7444
100.7874,0.7462
101.1811,0.7479
101.5748,0.7497
101.9685,0.7515
102.3622,0.7532
102.7559,0.755
103.1496,0.7567
103.5433,0.7585
103.937,0.7603
104.3307,0.762
104.7244,0.7638
105.1181,0.7656
105.5118,0.7673
105.9055,0.7691
106.2992,0.7708
106.6929,0.7726
107.0866,0.7744
107.4803,0.7761
107.874,0.7779
108.2677,0.7797
108.6614,0.7814
109.0551,0.7832
109.4488,0.7849
109.8425,0.7867
110.2362,0.7885
110.6299,0.7902
111.0236,0.792
111.4173,0.7938
111.811,0.7955
112.2047,0.7973
112.5984,0.799
112.9921,0.8008
113.3858,0.8026
113.7795,0.8043
114.1732,0.8061
114.5669,0.8079
114.9606,0.8096
115.3543,0.8114
115.748,0.8132
116.1417,0.8149
116.5354,0.8167
116.9291,0.8184
117.3228,0.8202
117.7165,0.822
118.1102,0.8237
